balanced_record_id,source_record_id,event_id,category,title,timestamp,region_id,region_row,region_col,latitude,longitude,primary_subarchetype,assigned_subarchetype,assigned_archetype,projection_weight
2B_01050,EONET_13387:0,EONET_13387,Floods,Flood in Peru 1103241,2025-04-27T20:00:00Z,r14_17,14,17,-5.9306,-77.2263,2B,2B,wide_shallow,0.4
2B_00271,EONET_13447:0,EONET_13447,Floods,Flood in Canada 1103248,2025-04-30T20:00:00Z,r23_16,23,16,52.213,-81.6825,2B,2B,wide_shallow,0.4
2B_00662,EONET_13447:0,EONET_13447,Floods,Flood in Canada 1103248,2025-04-30T20:00:00Z,r23_16,23,16,52.213,-81.6825,2B,2B,wide_shallow,0.4
2B_00666,EONET_13391:0,EONET_13391,Floods,Flood in New Zealand 1103245,2025-04-30T20:00:00Z,r07_58,7,58,-43.3111,172.3779,2B,2B,wide_shallow,0.4
2B_00926,EONET_13447:0,EONET_13447,Floods,Flood in Canada 1103248,2025-04-30T20:00:00Z,r23_16,23,16,52.213,-81.6825,2B,2B,wide_shallow,0.4
2B_00986,EONET_13391:0,EONET_13391,Floods,Flood in New Zealand 1103245,2025-04-30T20:00:00Z,r07_58,7,58,-43.3111,172.3779,2B,2B,wide_shallow,0.4
3B_00675,EONET_13446:0,EONET_13446,Floods,Flood in Malaysia 1103247,2025-04-30T20:00:00Z,r15_49,15,49,5.3317,116.1523,2B,3B,general,0.3
2B_00022,EONET_13465:0,EONET_13465,Floods,Flood in Afghanistan 1103252,2025-05-01T20:00:00Z,r21_41,21,41,36.804,71.3677,2B,2B,wide_shallow,0.4
1B_00604,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,1B,chain_like,0.25
1B_00892,EONET_6080:26,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-02T00:00:00Z,r04_21,4,21,-61.2,-51.1,3C,1B,chain_like,0.25
3A_00550,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3A,general,0.2
3C_00093,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_00106,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,3C,general,0.55
3C_00147,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3C,general,0.55
3C_00210,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_00359,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3C,general,0.55
3C_00372,EONET_6080:26,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-02T00:00:00Z,r04_21,4,21,-61.2,-51.1,3C,3C,general,0.55
3C_00406,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,3C,general,0.55
3C_00445,EONET_6288:24,EONET_6288,Sea and Lake Ice,Iceberg D32,2025-05-02T00:00:00Z,r02_26,2,26,-73.06,-20.64,3C,3C,general,0.55
3C_00463,EONET_5906:36,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-02T00:00:00Z,r04_20,4,20,-64.16,-54.44,3C,3C,general,0.55
3C_00517,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,3C,general,0.55
3C_00531,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_00903,EONET_5906:36,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-02T00:00:00Z,r04_20,4,20,-64.16,-54.44,3C,3C,general,0.55
3C_00927,EONET_10213:8,EONET_10213,Sea and Lake Ice,Iceberg B22G,2025-05-02T00:00:00Z,r02_03,2,3,-74.88,-156.3,3C,3C,general,0.55
3C_00941,EONET_6080:26,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-02T00:00:00Z,r04_21,4,21,-61.2,-51.1,3C,3C,general,0.55
3C_00952,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3C,general,0.55
3C_00979,EONET_6288:24,EONET_6288,Sea and Lake Ice,Iceberg D32,2025-05-02T00:00:00Z,r02_26,2,26,-73.06,-20.64,3C,3C,general,0.55
3C_01016,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_01050,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_01061,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3C,general,0.55
2B_00085,EONET_13454:0,EONET_13454,Floods,Flood in Germany 1103250,2025-05-02T20:00:00Z,r23_31,23,31,51.1265,9.7014,2B,2B,wide_shallow,0.4
2B_00981,EONET_13455:0,EONET_13455,Floods,Flood in Slovakia 1103251,2025-05-02T20:00:00Z,r23_33,23,33,49.2807,21.5575,2B,2B,wide_shallow,0.4
3A_01085,EONET_13464:0,EONET_13464,Floods,Flood in Brazil 1103254,2025-05-02T20:00:00Z,r12_23,12,23,-12.552,-38.706,2B,3A,general,0.15
1B_00937,EONET_13563:0,EONET_13563,Floods,Flood in Haiti 1103265,2025-05-03T20:00:00Z,r18_18,18,18,19.6155,-71.7784,2B,1B,chain_like,0.15
2B_00030,EONET_13476:0,EONET_13476,Floods,Flood in Pakistan 1103257,2025-05-03T20:00:00Z,r20_41,20,41,33.116,71.0951,2B,2B,wide_shallow,0.4
2B_00737,EONET_13476:0,EONET_13476,Floods,Flood in Pakistan 1103257,2025-05-03T20:00:00Z,r20_41,20,41,33.116,71.0951,2B,2B,wide_shallow,0.4
2B_00916,EONET_13470:0,EONET_13470,Floods,Flood in France 1103256,2025-05-03T20:00:00Z,r22_30,22,30,43.1438,0.1587,2B,2B,wide_shallow,0.4
3A_00936,EONET_13477:0,EONET_13477,Floods,Flood in Jordan 1103258,2025-05-03T20:00:00Z,r20_35,20,35,30.504,35.5667,2B,3A,general,0.15
2B_00755,EONET_13480:0,EONET_13480,Floods,Flood in Romania 1103260,2025-05-05T20:00:00Z,r22_33,22,33,45.3782,21.7313,2B,2B,wide_shallow,0.4
3B_00489,EONET_13480:0,EONET_13480,Floods,Flood in Romania 1103260,2025-05-05T20:00:00Z,r22_33,22,33,45.3782,21.7313,2B,3B,general,0.3
2B_00062,EONET_13560:0,EONET_13560,Floods,Flood in Vietnam 1103263,2025-05-08T20:00:00Z,r17_48,17,48,14.2972,109.0797,2B,2B,wide_shallow,0.4
2B_00728,EONET_13560:0,EONET_13560,Floods,Flood in Vietnam 1103263,2025-05-08T20:00:00Z,r17_48,17,48,14.2972,109.0797,2B,2B,wide_shallow,0.4
3A_00512,EONET_13561:0,EONET_13561,Floods,Flood in Somalia 1103268,2025-05-08T20:00:00Z,r15_37,15,37,2.7361,42.8181,2B,3A,general,0.15
3A_00829,EONET_13560:0,EONET_13560,Floods,Flood in Vietnam 1103263,2025-05-08T20:00:00Z,r17_48,17,48,14.2972,109.0797,2B,3A,general,0.15
1B_00294,EONET_6051:5,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-09T00:00:00Z,r04_45,4,45,-65.05,92.92,3C,1B,chain_like,0.25
1B_00422,EONET_6288:25,EONET_6288,Sea and Lake Ice,Iceberg D32,2025-05-09T00:00:00Z,r03_27,3,27,-71.95,-15.13,3C,1B,chain_like,0.25
3A_00641,EONET_6037:10,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-09T00:00:00Z,r04_44,4,44,-65.83,87.39,3C,3A,general,0.2
3A_00728,EONET_12618:10,EONET_12618,Sea and Lake Ice,Iceberg A84,2025-05-09T00:00:00Z,r02_14,2,14,-72.42,-93.89,3C,3A,general,0.2
3C_00004,EONET_13367:2,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-09T00:00:00Z,r05_24,5,24,-55.8,-34.77,3C,3C,general,0.55
3C_00006,EONET_2736:23,EONET_2736,Sea and Lake Ice,Iceberg B22A,2025-05-09T00:00:00Z,r02_03,2,3,-75.8,-161.95,3C,3C,general,0.55
3C_00099,EONET_10212:10,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-09T00:00:00Z,r02_03,2,3,-75.39,-160.1,3C,3C,general,0.55
3C_00180,EONET_6051:5,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-09T00:00:00Z,r04_45,4,45,-65.05,92.92,3C,3C,general,0.55
3C_00224,EONET_13367:2,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-09T00:00:00Z,r05_24,5,24,-55.8,-34.77,3C,3C,general,0.55
3C_00328,EONET_2736:23,EONET_2736,Sea and Lake Ice,Iceberg B22A,2025-05-09T00:00:00Z,r02_03,2,3,-75.8,-161.95,3C,3C,general,0.55
3C_00351,EONET_10212:10,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-09T00:00:00Z,r02_03,2,3,-75.39,-160.1,3C,3C,general,0.55
3C_00494,EONET_13367:2,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-09T00:00:00Z,r05_24,5,24,-55.8,-34.77,3C,3C,general,0.55
3C_00503,EONET_5359:32,EONET_5359,Sea and Lake Ice,Iceberg A76C,2025-05-09T00:00:00Z,r04_21,4,21,-60.99,-48.45,3C,3C,general,0.55
3C_00522,EONET_12618:10,EONET_12618,Sea and Lake Ice,Iceberg A84,2025-05-09T00:00:00Z,r02_14,2,14,-72.42,-93.89,3C,3C,general,0.55
3C_00552,EONET_10212:10,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-09T00:00:00Z,r02_03,2,3,-75.39,-160.1,3C,3C,general,0.55
3C_00591,EONET_5359:32,EONET_5359,Sea and Lake Ice,Iceberg A76C,2025-05-09T00:00:00Z,r04_21,4,21,-60.99,-48.45,3C,3C,general,0.55
3C_00743,EONET_6037:10,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-09T00:00:00Z,r04_44,4,44,-65.83,87.39,3C,3C,general,0.55
3C_00802,EONET_6037:10,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-09T00:00:00Z,r04_44,4,44,-65.83,87.39,3C,3C,general,0.55
3C_00835,EONET_6288:25,EONET_6288,Sea and Lake Ice,Iceberg D32,2025-05-09T00:00:00Z,r03_27,3,27,-71.95,-15.13,3C,3C,general,0.55
3C_00838,EONET_6051:5,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-09T00:00:00Z,r04_45,4,45,-65.05,92.92,3C,3C,general,0.55
3C_00845,EONET_2736:23,EONET_2736,Sea and Lake Ice,Iceberg B22A,2025-05-09T00:00:00Z,r02_03,2,3,-75.8,-161.95,3C,3C,general,0.55
3C_00892,EONET_6037:10,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-09T00:00:00Z,r04_44,4,44,-65.83,87.39,3C,3C,general,0.55
3C_00896,EONET_13367:2,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-09T00:00:00Z,r05_24,5,24,-55.8,-34.77,3C,3C,general,0.55
3C_00909,EONET_6037:10,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-09T00:00:00Z,r04_44,4,44,-65.83,87.39,3C,3C,general,0.55
3C_00914,EONET_10212:10,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-09T00:00:00Z,r02_03,2,3,-75.39,-160.1,3C,3C,general,0.55
3C_00919,EONET_6051:5,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-09T00:00:00Z,r04_45,4,45,-65.05,92.92,3C,3C,general,0.55
3C_00999,EONET_4125:33,EONET_4125,Sea and Lake Ice,Iceberg B15AB,2025-05-09T00:00:00Z,r04_21,4,21,-65.54,-53.44,3C,3C,general,0.55
3C_01034,EONET_10212:10,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-09T00:00:00Z,r02_03,2,3,-75.39,-160.1,3C,3C,general,0.55
3C_01043,EONET_4125:33,EONET_4125,Sea and Lake Ice,Iceberg B15AB,2025-05-09T00:00:00Z,r04_21,4,21,-65.54,-53.44,3C,3C,general,0.55
3C_01077,EONET_10212:10,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-09T00:00:00Z,r02_03,2,3,-75.39,-160.1,3C,3C,general,0.55
1B_00121,EONET_13559:0,EONET_13559,Floods,Flood in Spain 1103267,2025-05-09T20:00:00Z,r21_29,21,29,37.8056,-1.1273,2B,1B,chain_like,0.15
1B_00764,EONET_13557:0,EONET_13557,Floods,Flood in Thailand 1103262,2025-05-09T20:00:00Z,r17_46,17,46,14.3655,101.8862,2B,1B,chain_like,0.15
1B_01069,EONET_13559:0,EONET_13559,Floods,Flood in Spain 1103267,2025-05-09T20:00:00Z,r21_29,21,29,37.8056,-1.1273,2B,1B,chain_like,0.15
2B_00606,EONET_13558:0,EONET_13558,Floods,Flood in Cambodia 1103264,2025-05-09T20:00:00Z,r17_47,17,47,13.6594,102.5708,2B,2B,wide_shallow,0.4
3A_00248,EONET_13557:0,EONET_13557,Floods,Flood in Thailand 1103262,2025-05-09T20:00:00Z,r17_46,17,46,14.3655,101.8862,2B,3A,general,0.15
1A_00380,EONET_13771:0,EONET_13771,Volcanoes,"Karymsky Volcano, Russia",2025-05-11T00:00:00Z,r24_56,24,56,54.049,159.443,1A,1A,chain_like,0.55
1A_01042,EONET_13556:0,EONET_13556,Severe Storms,Tropical Cyclone 32P,2025-05-11T06:00:00Z,r13_53,13,53,-9.0,138.2,3B,1A,chain_like,0.1
2B_00595,EONET_13556:0,EONET_13556,Severe Storms,Tropical Cyclone 32P,2025-05-11T06:00:00Z,r13_53,13,53,-9.0,138.2,3B,2B,wide_shallow,0.2
1A_00307,EONET_13556:1,EONET_13556,Severe Storms,Tropical Cyclone 32P,2025-05-11T12:00:00Z,r13_53,13,53,-9.0,138.1,3B,1A,chain_like,0.1
2A_00267,EONET_13556:1,EONET_13556,Severe Storms,Tropical Cyclone 32P,2025-05-11T12:00:00Z,r13_53,13,53,-9.0,138.1,3B,2A,wide_shallow,0.25
3B_00412,EONET_13556:2,EONET_13556,Severe Storms,Tropical Cyclone 32P,2025-05-11T18:00:00Z,r13_52,13,52,-9.0,137.9,3B,3B,general,0.35
2B_00179,EONET_13592:0,EONET_13592,Floods,Flood in Kenya 1103273,2025-05-11T20:00:00Z,r14_35,14,35,-0.3882,34.6021,2B,2B,wide_shallow,0.4
3A_00204,EONET_13592:0,EONET_13592,Floods,Flood in Kenya 1103273,2025-05-11T20:00:00Z,r14_35,14,35,-0.3882,34.6021,2B,3A,general,0.15
2B_00244,EONET_13591:0,EONET_13591,Floods,Flood in France 1103271,2025-05-12T20:00:00Z,r17_19,17,19,14.6028,-61.0677,2B,2B,wide_shallow,0.4
2B_01089,EONET_13606:0,EONET_13606,Floods,Flood in Tanzania 1103275,2025-05-13T20:00:00Z,r13_35,13,35,-8.2769,32.8617,2B,2B,wide_shallow,0.4
2B_00017,EONET_13589:0,EONET_13589,Floods,Flood in Indonesia 1103270,2025-05-14T09:00:00Z,r14_49,14,49,-0.5018,117.1393,2B,2B,wide_shallow,0.4
2B_00001,EONET_13605:0,EONET_13605,Floods,Flood in Italy 1103276,2025-05-14T20:00:00Z,r21_32,21,32,37.3123,13.5747,2B,2B,wide_shallow,0.4
2B_00216,EONET_13605:0,EONET_13605,Floods,Flood in Italy 1103276,2025-05-14T20:00:00Z,r21_32,21,32,37.3123,13.5747,2B,2B,wide_shallow,0.4
1B_00724,EONET_13631:0,EONET_13631,Floods,Flood in China 1103277,2025-05-15T20:00:00Z,r18_47,18,47,23.9054,106.6149,2B,1B,chain_like,0.15
2B_00581,EONET_13643:0,EONET_13643,Floods,Flood in Türkiye 1103282,2025-05-15T20:00:00Z,r21_36,21,36,37.462,36.172,2B,2B,wide_shallow,0.4
3B_00930,EONET_13643:0,EONET_13643,Floods,Flood in Türkiye 1103282,2025-05-15T20:00:00Z,r21_36,21,36,37.462,36.172,2B,3B,general,0.3
3C_00128,EONET_6080:27,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-16T00:00:00Z,r04_21,4,21,-60.59,-51.89,3C,3C,general,0.55
3C_00265,EONET_6424:22,EONET_6424,Sea and Lake Ice,Iceberg D33B,2025-05-16T00:00:00Z,r02_22,2,22,-76.04,-42.8,3C,3C,general,0.55
3C_00308,EONET_6080:27,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-16T00:00:00Z,r04_21,4,21,-60.59,-51.89,3C,3C,general,0.55
3C_00321,EONET_10213:9,EONET_10213,Sea and Lake Ice,Iceberg B22G,2025-05-16T00:00:00Z,r02_03,2,3,-74.38,-157.83,3C,3C,general,0.55
3C_00395,EONET_6037:11,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-16T00:00:00Z,r04_44,4,44,-65.91,86.1,3C,3C,general,0.55
3C_00475,EONET_6037:11,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-16T00:00:00Z,r04_44,4,44,-65.91,86.1,3C,3C,general,0.55
3C_00912,EONET_6080:27,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-16T00:00:00Z,r04_21,4,21,-60.59,-51.89,3C,3C,general,0.55
3C_00957,EONET_12618:11,EONET_12618,Sea and Lake Ice,Iceberg A84,2025-05-16T00:00:00Z,r02_14,2,14,-72.04,-94.85,3C,3C,general,0.55
3C_00995,EONET_6037:11,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-16T00:00:00Z,r04_44,4,44,-65.91,86.1,3C,3C,general,0.55
3C_01042,EONET_12618:11,EONET_12618,Sea and Lake Ice,Iceberg A84,2025-05-16T00:00:00Z,r02_14,2,14,-72.04,-94.85,3C,3C,general,0.55
3C_01085,EONET_6037:11,EONET_6037,Sea and Lake Ice,Iceberg C38B,2025-05-16T00:00:00Z,r04_44,4,44,-65.91,86.1,3C,3C,general,0.55
2B_00712,EONET_13641:0,EONET_13641,Floods,Flood in India 1103280,2025-05-17T20:00:00Z,r17_42,17,42,12.9768,77.5901,2B,2B,wide_shallow,0.4
2B_00736,EONET_13667:0,EONET_13667,Floods,Flood in Ghana 1103284,2025-05-17T20:00:00Z,r15_30,15,30,5.9588,0.1619,2B,2B,wide_shallow,0.4
2B_00191,EONET_13677:0,EONET_13677,Floods,Flood in Slovenia 1103286,2025-05-19T20:00:00Z,r22_32,22,32,46.5196,16.1512,2B,2B,wide_shallow,0.4
1B_00536,EONET_13676:0,EONET_13676,Floods,Flood in Canada 1103288,2025-05-20T20:00:00Z,r23_18,23,18,48.7427,-71.851,2B,1B,chain_like,0.15
2B_01009,EONET_13676:0,EONET_13676,Floods,Flood in Canada 1103288,2025-05-20T20:00:00Z,r23_18,23,18,48.7427,-71.851,2B,2B,wide_shallow,0.4
1B_00605,EONET_10213:10,EONET_10213,Sea and Lake Ice,Iceberg B22G,2025-05-22T00:00:00Z,r02_03,2,3,-74.0,-158.76,3C,1B,chain_like,0.25
1B_00762,EONET_6320:18,EONET_6320,Sea and Lake Ice,Iceberg A81,2025-05-22T00:00:00Z,r03_20,3,20,-68.31,-58.15,3C,1B,chain_like,0.25
3A_00015,EONET_5906:37,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-22T00:00:00Z,r04_21,4,21,-63.46,-53.6,3C,3A,general,0.2
3A_00255,EONET_6080:28,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-22T00:00:00Z,r04_21,4,21,-60.18,-51.06,3C,3A,general,0.2
3A_00436,EONET_10212:11,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-22T00:00:00Z,r02_03,2,3,-74.93,-161.44,3C,3A,general,0.2
3A_00495,EONET_6051:6,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-22T00:00:00Z,r04_45,4,45,-65.46,90.81,3C,3A,general,0.2
3A_00947,EONET_12716:5,EONET_12716,Sea and Lake Ice,Iceberg A85,2025-05-22T00:00:00Z,r02_20,2,20,-75.23,-54.83,3C,3A,general,0.2
3C_00077,EONET_6523:8,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-22T00:00:00Z,r02_22,2,22,-76.2,-42.16,3C,3C,general,0.55
3C_00118,EONET_5906:37,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-22T00:00:00Z,r04_21,4,21,-63.46,-53.6,3C,3C,general,0.55
3C_00123,EONET_6051:6,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-22T00:00:00Z,r04_45,4,45,-65.46,90.81,3C,3C,general,0.55
3C_00151,EONET_12716:5,EONET_12716,Sea and Lake Ice,Iceberg A85,2025-05-22T00:00:00Z,r02_20,2,20,-75.23,-54.83,3C,3C,general,0.55
3C_00164,EONET_6320:18,EONET_6320,Sea and Lake Ice,Iceberg A81,2025-05-22T00:00:00Z,r03_20,3,20,-68.31,-58.15,3C,3C,general,0.55
3C_00187,EONET_2736:24,EONET_2736,Sea and Lake Ice,Iceberg B22A,2025-05-22T00:00:00Z,r02_02,2,2,-75.3,-162.46,3C,3C,general,0.55
3C_00214,EONET_5906:37,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-22T00:00:00Z,r04_21,4,21,-63.46,-53.6,3C,3C,general,0.55
3C_00234,EONET_6523:8,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-22T00:00:00Z,r02_22,2,22,-76.2,-42.16,3C,3C,general,0.55
3C_00274,EONET_5906:37,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-22T00:00:00Z,r04_21,4,21,-63.46,-53.6,3C,3C,general,0.55
3C_00327,EONET_5906:37,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-22T00:00:00Z,r04_21,4,21,-63.46,-53.6,3C,3C,general,0.55
3C_00345,EONET_5906:37,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-22T00:00:00Z,r04_21,4,21,-63.46,-53.6,3C,3C,general,0.55
3C_00446,EONET_6320:18,EONET_6320,Sea and Lake Ice,Iceberg A81,2025-05-22T00:00:00Z,r03_20,3,20,-68.31,-58.15,3C,3C,general,0.55
3C_00498,EONET_10212:11,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-22T00:00:00Z,r02_03,2,3,-74.93,-161.44,3C,3C,general,0.55
3C_00520,EONET_6080:28,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-22T00:00:00Z,r04_21,4,21,-60.18,-51.06,3C,3C,general,0.55
3C_00538,EONET_6320:18,EONET_6320,Sea and Lake Ice,Iceberg A81,2025-05-22T00:00:00Z,r03_20,3,20,-68.31,-58.15,3C,3C,general,0.55
3C_00595,EONET_10213:10,EONET_10213,Sea and Lake Ice,Iceberg B22G,2025-05-22T00:00:00Z,r02_03,2,3,-74.0,-158.76,3C,3C,general,0.55
3C_00801,EONET_6051:6,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-22T00:00:00Z,r04_45,4,45,-65.46,90.81,3C,3C,general,0.55
3C_00819,EONET_6051:6,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-22T00:00:00Z,r04_45,4,45,-65.46,90.81,3C,3C,general,0.55
3C_00869,EONET_10212:11,EONET_10212,Sea and Lake Ice,Iceberg B22F,2025-05-22T00:00:00Z,r02_03,2,3,-74.93,-161.44,3C,3C,general,0.55
3C_01070,EONET_6051:6,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-22T00:00:00Z,r04_45,4,45,-65.46,90.81,3C,3C,general,0.55
2B_00163,EONET_13738:0,EONET_13738,Floods,Flood in Thailand 1103292,2025-05-22T20:00:00Z,r16_46,16,46,8.0635,98.9162,2B,2B,wide_shallow,0.4
3A_00066,EONET_13739:0,EONET_13739,Floods,Flood in El Salvador 1103295,2025-05-24T20:00:00Z,r17_15,17,15,13.4919,-89.3649,2B,3A,general,0.15
2B_00045,EONET_13775:0,EONET_13775,Floods,Flood in Argentina 1103299,2025-05-25T20:00:00Z,r09_19,9,19,-30.3155,-61.1645,2B,2B,wide_shallow,0.4
1B_00568,EONET_13827:0,EONET_13827,Floods,Flood in Moldova 1103304,2025-05-26T20:00:00Z,r22_34,22,34,47.7624,27.9286,2B,1B,chain_like,0.15
2B_00832,EONET_13773:0,EONET_13773,Floods,Flood in Paraguay 1103300,2025-05-26T20:00:00Z,r10_20,10,20,-25.1729,-57.4778,2B,2B,wide_shallow,0.4
2B_00218,EONET_13826:0,EONET_13826,Floods,Flood in Nigeria 1103303,2025-05-27T20:00:00Z,r16_30,16,30,9.2957,5.0544,2B,2B,wide_shallow,0.4
2B_00228,EONET_13826:0,EONET_13826,Floods,Flood in Nigeria 1103303,2025-05-27T20:00:00Z,r16_30,16,30,9.2957,5.0544,2B,2B,wide_shallow,0.4
2B_00446,EONET_13826:0,EONET_13826,Floods,Flood in Nigeria 1103303,2025-05-27T20:00:00Z,r16_30,16,30,9.2957,5.0544,2B,2B,wide_shallow,0.4
2B_00501,EONET_13801:0,EONET_13801,Floods,Flood in Germany 1103301,2025-05-27T20:00:00Z,r23_31,23,31,49.6303,8.3621,2B,2B,wide_shallow,0.4
2B_00502,EONET_13801:0,EONET_13801,Floods,Flood in Germany 1103301,2025-05-27T20:00:00Z,r23_31,23,31,49.6303,8.3621,2B,2B,wide_shallow,0.4
3B_00178,EONET_13826:0,EONET_13826,Floods,Flood in Nigeria 1103303,2025-05-27T20:00:00Z,r16_30,16,30,9.2957,5.0544,2B,3B,general,0.3
3B_01071,EONET_13801:0,EONET_13801,Floods,Flood in Germany 1103301,2025-05-27T20:00:00Z,r23_31,23,31,49.6303,8.3621,2B,3B,general,0.3
1B_00103,EONET_4125:35,EONET_4125,Sea and Lake Ice,Iceberg B15AB,2025-05-29T00:00:00Z,r04_21,4,21,-64.16,-53.45,3C,1B,chain_like,0.25
1B_00388,EONET_6051:7,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-29T00:00:00Z,r04_44,4,44,-65.8,89.37,3C,1B,chain_like,0.25
1B_00760,EONET_6080:29,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-29T00:00:00Z,r05_21,5,21,-59.55,-50.71,3C,1B,chain_like,0.25
1B_00974,EONET_6474:13,EONET_6474,Sea and Lake Ice,Iceberg D35,2025-05-29T00:00:00Z,r02_24,2,24,-73.51,-32.13,3C,1B,chain_like,0.25
3A_00301,EONET_6080:29,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-29T00:00:00Z,r05_21,5,21,-59.55,-50.71,3C,3A,general,0.2
3A_00897,EONET_6302:23,EONET_6302,Sea and Lake Ice,Iceberg A80A,2025-05-29T00:00:00Z,r04_20,4,20,-61.57,-54.02,3C,3A,general,0.2
3C_00096,EONET_6302:23,EONET_6302,Sea and Lake Ice,Iceberg A80A,2025-05-29T00:00:00Z,r04_20,4,20,-61.57,-54.02,3C,3C,general,0.55
3C_00113,EONET_6474:13,EONET_6474,Sea and Lake Ice,Iceberg D35,2025-05-29T00:00:00Z,r02_24,2,24,-73.51,-32.13,3C,3C,general,0.55
